Cp       Points_0       Points_1       Points_2
0.214008       -0.440961       0.235698       1.25
0.137907       -0.435044       0.246449       1.25
0.0593027       -0.428864       0.257051       1.25
-0.0211844       -0.422427       0.267499       1.25
-0.103358       -0.415735       0.277785       1.25
-0.18721       -0.408792       0.287904       1.25
-0.272561       -0.401604       0.29785       1.25
-0.358883       -0.394173       0.307616       1.25
-0.446057       -0.386505       0.317197       1.25
-0.533869       -0.378604       0.326586       1.25
-0.622193       -0.370476       0.335779       1.25
-0.710576       -0.362124       0.34477       1.25
-0.798542       -0.353553       0.353553       1.25
-0.886398       -0.34477       0.362123       1.25
-0.97375       -0.33578       0.370476       1.25
-1.05982       -0.326586       0.378604       1.25
-1.14492       -0.317197       0.386505       1.25
-1.22877       -0.307616       0.394173       1.25
-1.31087       -0.29785       0.401604       1.25
-1.39086       -0.287904       0.408792       1.25
-1.46904       -0.277785       0.415735       1.25
-1.54482       -0.267499       0.422427       1.25
-1.61766       -0.257051       0.428864       1.25
-1.68815       -0.246449       0.435044       1.25
-1.75528       -0.235698       0.440961       1.25
-1.81913       -0.224806       0.446612       1.25
-1.87965       -0.213778       0.451995       1.25
-1.93632       -0.202621       0.457105       1.25
-1.98898       -0.191342       0.46194       1.25
-2.03742       -0.179948       0.466496       1.25
-2.08173       -0.168445       0.470772       1.25
-2.12149       -0.156841       0.474764       1.25
-2.15636       -0.145142       0.47847       1.25
-2.18659       -0.133356       0.481888       1.25
-2.21181       -0.12149       0.485016       1.25
-2.23159       -0.109551       0.487851       1.25
-2.24618       -0.0975452       0.490393       1.25
-2.25515       -0.085481       0.492639       1.25
-2.25829       -0.0733653       0.494588       1.25
-2.2559       -0.0612054       0.49624       1.25
-2.24725       -0.0490086       0.497592       1.25
-2.23281       -0.0367823       0.498645       1.25
-2.2122       -0.0245339       0.499398       1.25
-2.1849       -0.0122706       0.499849       1.25
-2.15132       -2.18557e-08       0.5       1.25
-2.11106       0.0122706       0.499849       1.25
-2.06418       0.0245338       0.499398       1.25
-2.01013       0.0367822       0.498645       1.25
-1.949       0.0490086       0.497592       1.25
-1.88086       0.0612053       0.49624       1.25
-1.80498       0.0733652       0.494588       1.25
-1.7217       0.0854809       0.492639       1.25
-1.63063       0.0975451       0.490393       1.25
-1.53163       0.109551       0.487851       1.25
-1.42528       0.12149       0.485016       1.25
-1.31222       0.133356       0.481888       1.25
-1.1954       0.145142       0.47847       1.25
-1.08115       0.156841       0.474764       1.25
-0.9745       0.168445       0.470772       1.25
-0.878961       0.179947       0.466496       1.25
-0.796251       0.191342       0.46194       1.25
-0.72809       0.202621       0.457105       1.25
-0.679       0.213778       0.451995       1.25
-0.64727       0.224806       0.446612       1.25
-0.627048       0.235698       0.440961       1.25
-0.609007       0.246449       0.435043       1.25
-0.589859       0.257051       0.428864       1.25
-0.576349       0.267499       0.422427       1.25
-0.570812       0.277785       0.415735       1.25
-0.568989       0.287904       0.408792       1.25
-0.565599       0.29785       0.401604       1.25
-0.558776       0.307616       0.394173       1.25
-0.549594       0.317197       0.386505       1.25
-0.53938       0.326586       0.378604       1.25
-0.530232       0.335779       0.370476       1.25
-0.523656       0.34477       0.362124       1.25
-0.517225       0.353553       0.353553       1.25
-0.510794       0.362124       0.34477       1.25
-0.505649       0.370476       0.335779       1.25
-0.500615       0.378604       0.326586       1.25
-0.495257       0.386505       0.317197       1.25
-0.490393       0.394173       0.307616       1.25
-0.486603       0.401604       0.29785       1.25
